ID	Score	Ind_bom
1	287	0
2	877	1
3	908	1
4	991	0
5	52	0
6	183	1
7	171	1
8	784	0
9	170	1
10	189	1
11	284	0
12	368	0
13	120	1
14	548	0
15	97	1
16	152	1
17	918	0
18	217	1
19	911	1
20	356	0
21	99	1
22	912	1
23	550	0
24	105	1
25	877	0
26	911	0
27	864	1
28	941	1
29	962	0
30	3	1
31	350	1
32	174	0
33	729	1
34	119	0
35	210	0
36	234	1
37	484	0
38	288	1
39	955	0
40	373	0
41	445	1
42	662	0
43	78	1
44	336	1
45	850	0
46	558	0
47	615	0
48	242	0
49	619	1
50	195	0
51	27	0
52	503	0
53	724	1
54	927	1
55	834	0
56	801	1
57	356	0
58	139	0
59	434	0
60	807	0
61	559	0
62	129	1
63	904	1
64	720	1
65	917	0
66	149	0
67	58	1
68	109	1
69	135	1
70	427	0
71	235	0
72	738	1
73	709	0
74	703	1
75	632	1
76	629	0
77	636	0
78	502	0
79	837	0
80	249	1
81	824	1
82	186	1
83	915	0
84	469	0
85	667	1
86	818	1
87	392	1
88	96	0
89	775	0
90	852	0
91	541	0
92	141	1
93	863	1
94	871	0
95	946	1
96	345	1
97	411	0
98	37	1
99	153	0
100	746	0
101	644	1
102	184	1
103	741	0
104	542	0
105	431	0
106	103	0
107	142	0
108	609	0
109	38	0
110	596	1
111	862	1
112	377	0
113	343	0
114	540	1
115	748	0
116	928	0
117	84	0
118	77	1
119	644	1
120	719	0
121	571	1
122	341	1
123	958	0
124	767	1
125	418	0
126	861	0
127	622	1
128	901	0
129	944	1
130	605	0
131	585	1
132	709	1
133	473	1
134	710	0
135	212	1
136	218	0
137	832	0
138	136	0
139	370	0
140	539	1
141	569	1
142	51	1
143	496	1
144	93	0
145	930	0
146	619	1
147	873	0
148	520	0
149	917	0
150	842	0
151	195	0
152	595	1
153	476	0
154	567	1
155	858	0
156	565	0
157	388	1
158	457	0
159	21	0
160	280	0
161	715	0
162	410	0
163	191	0
164	591	0
165	384	1
166	902	0
167	985	1
168	469	0
169	326	1
170	240	0
171	605	1
172	871	0
173	838	0
174	35	0
175	185	0
176	730	0
177	440	1
178	326	0
179	693	1
180	672	0
181	623	0
182	311	0
183	736	0
184	721	1
185	434	1
186	641	1
187	482	0
188	956	0
189	746	0
190	680	1
191	333	0
192	752	0
193	228	1
194	533	0
195	820	1
196	271	1
197	734	1
198	930	0
199	623	1
200	527	1
